id,text,speciesist_label,category,species_context,paired_id,source_type
s001,The livestock were transported to the processing facility for harvesting.,speciesist,objectification,cattle,n001,synthetic
n001,The cows were transported to the slaughterhouse to be killed.,non_speciesist,accurate_language,cattle,s001,synthetic
s002,The spent hens were depopulated after their production cycle ended.,speciesist,euphemism,chickens,n002,synthetic
n002,The hens were killed after they stopped laying enough eggs to be profitable.,non_speciesist,accurate_language,chickens,s002,synthetic
s003,The breeding stock produced a strong batch of finishers this quarter.,speciesist,deindividuation,pigs,n003,synthetic
n003,The mother pigs gave birth to piglets raised to slaughter weight this quarter.,non_speciesist,agency_language,pigs,s003,synthetic
s004,The feedlot operation maintained optimal stocking density for maximum throughput.,speciesist,industry_normalization,cattle,n004,synthetic
n004,The cattle were confined in crowded outdoor pens to maximize the number killed.,non_speciesist,accurate_language,cattle,s004,synthetic
s005,The property owner reported the vermin had been dispatched by pest control.,speciesist,property_framing,wildlife,n005,synthetic
n005,The homeowner reported the animals had been killed by the exterminator.,non_speciesist,accurate_language,wildlife,s005,synthetic
s006,Several head of cattle were culled as part of routine herd management.,speciesist,euphemism,cattle,n006,synthetic
n006,Several cows were killed as part of routine herd management.,non_speciesist,accurate_language,cattle,s006,synthetic
s007,The broilers reached market weight in the grow-out facility ahead of schedule.,speciesist,objectification,chickens,n007,synthetic
n007,The chickens reached slaughter weight in the confinement building ahead of schedule.,non_speciesist,accurate_language,chickens,s007,synthetic
s008,Animal husbandry practices ensured the meat animals were humanely raised.,speciesist,euphemism,mixed,n008,synthetic
n008,The farming practices confined the animals who would be killed for their flesh.,non_speciesist,accurate_language,mixed,s008,synthetic
s009,The rendering plant processed the byproducts from the harvest.,speciesist,industry_normalization,mixed,n009,synthetic
n009,The rendering plant processed the body parts left over from the killing.,non_speciesist,accurate_language,mixed,s009,synthetic
s010,The inventory was moved from the farrowing crates to the finishing barn.,speciesist,deindividuation,pigs,n010,synthetic
n010,The piglets were moved from the crates where their mothers were confined to the fattening barn.,non_speciesist,agency_language,pigs,s010,synthetic
s011,The game animals were taken during the annual trophy hunt.,speciesist,property_framing,wildlife,n011,synthetic
n011,The wild animals were killed during the annual recreational hunt.,non_speciesist,accurate_language,wildlife,s011,synthetic
s012,Battery cage operations maintained high egg production per unit.,speciesist,industry_normalization,chickens,n012,synthetic
n012,Hens confined in small wire cages were forced to produce eggs at high rates.,non_speciesist,accurate_language,chickens,s012,synthetic
s013,The sow was moved to the gestation crate for the production cycle.,speciesist,industry_normalization,pigs,n013,synthetic
n013,The mother pig was locked in a metal crate so small she could not turn around.,non_speciesist,accurate_language,pigs,s013,synthetic
s014,Veal crate operations produced premium product this season.,speciesist,industry_normalization,cattle,n014,synthetic
n014,Calves confined alone in small crates were killed young to produce tender meat.,non_speciesist,accurate_language,cattle,s014,synthetic
